ID,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
37,"Newsham, K.K., Hopkins, D.W., Carvalhais, L.C., Fretwell, P.T., Rushton, S.P., O'Donnell, A.G., Dennis, P.G.",Relationship between soil fungal diversity and temperature in the maritime Antarctic,2016,Nature Climate Change,6,2,,182,186,,,10.1038/nclimate2806,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955618450&partnerID=40&md5=7733ac100d3dc1d0bcf7fe120bd1622a,Article,Scopus,2-s2.0-84955618450
38,"Sukhinov, A.I., Nikitina, A.V., Chistyakov, A.E., Semenov, I.S., Semenyakina, A.A., Khachunts, D.S.",Mathematical modeling of eutrophication processes in shallow waters on multiprocessor computer system,2016,CEUR Workshop Proceedings,1576,,,320,333,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978521839&partnerID=40&md5=66df3daaa29899029efefd992157bbc9,Conference Paper,Scopus,2-s2.0-84978521839
39,"Sommer, U., Peter, K.H., Genitsaris, S., Moustaka-Gouni, M.",Do marine phytoplankton follow Bergmann's rule sensu lato?,2016,Biological Reviews,,,,,,,1,10.1111/brv.12266,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962644547&partnerID=40&md5=78e39ec5e08b1f33e9cf7cf2a7e5dbcc,Article in Press,Scopus,2-s2.0-84962644547
40,"Lupon, A., MartÃ_, E., Sabater, F., Bernal, S.",Green light: Gross primary production influences seasonal stream N export by controlling fine-scale N dynamics,2016,Ecology,97,1,,133,144,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956782193&partnerID=40&md5=9be30feff302cd9783e07020cac6f36d,Article,Scopus,2-s2.0-84956782193
41,"Nowicki, A., Janecki, M., Darecki, M., Piotrowski, P., Dzierzbicka-GÅ‚owacka, L.",The use of satellite data in the operational 3d coupled ecosystem model of the baltic sea (3D Cembs),2016,Polish Maritime Research,23,1,,20,24,,,10.1515/pomr-2016-0003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969645561&partnerID=40&md5=5816e6af3103bab60e57959e524ef2b4,Article,Scopus,2-s2.0-84969645561
42,"Nagappan, S., Verma, S.K.",Growth model for raceway pond cultivation of Desmodesmus sp. MCC34 isolated from a local water body,2016,Engineering in Life Sciences,16,1,,45,52,,2,10.1002/elsc.201500024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953835984&partnerID=40&md5=d745f16b916474674a4c351136004afd,Article,Scopus,2-s2.0-84953835984
43,"Burford, M.A., Beardall, J., Willis, A., Orr, P.T., Magalhaes, V.F., Rangel, L.M., Azevedo, S.M.F.O.E., Neilan, B.A.",Understanding the winning strategies used by the bloom-forming cyanobacterium Cylindrospermopsis raciborskii,2016,Harmful Algae,54,,,44,53,,,10.1016/j.hal.2015.10.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979944449&partnerID=40&md5=6abd34906a40c1ae436b99c34b3cbb95,Review,Scopus,2-s2.0-84979944449
44,"Sloan, V.L., Fletcher, B.J., Phoenix, G.K.",Contrasting synchrony in root and leaf phenology across multiple sub-Arctic plant communities,2016,Journal of Ecology,104,1,,239,248,,,10.1111/1365-2745.12506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954433363&partnerID=40&md5=5113eca84710bc21a0ecc79fc67b4f21,Article,Scopus,2-s2.0-84954433363
45,"Hu, H.-W., Macdonald, C.A., Trivedi, P., Anderson, I.C., Zheng, Y., Holmes, B., Bodrossy, L., Wang, J.-T., He, J.-Z., Singh, B.K.",Effects of climate warming and elevated CO<inf>2</inf> on autotrophic nitrification and nitrifiers in dryland ecosystems,2016,Soil Biology and Biochemistry,92,,,1,15,,3,10.1016/j.soilbio.2015.09.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943557517&partnerID=40&md5=0beee31acb861f3d84bec16c07dd5bef,Article,Scopus,2-s2.0-84943557517
46,"Di Maggio, J., FernÃ¡ndez, C., Parodi, E.R., Diaz, M.S., Estrada, V.",Modeling phytoplankton community in reservoirs. A comparison between taxonomic and functional groups-based models,2016,Journal of Environmental Management,165,,,31,52,,,10.1016/j.jenvman.2015.08.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942345992&partnerID=40&md5=e27518c48ac62731659f0b69ef5ced3a,Article,Scopus,2-s2.0-84942345992
